customer_sk,customer_id,customer_name,dob,gender,kyc_type,kyc_number,onboard_date,status,loyalty_tier,city,state,country,email,phone,last_updated_ts,gdpr_opt_out
50,CUST000050,Customer_50,24-03-1985,M,Aadhaar,KYC00000050,06-09-2021,ACTIVE,Silver,Mumbai,Maharashtra,India,customer50@mail.com,-9930353066,27:44.8,N
51,CUST000051,Customer_51,10-12-2012,F,Passport,KYC00000051,06-01-2024,ACTIVE,Silver,Bengaluru,Karnataka,India,customer51@mail.com,-9223847166,27:44.8,N
52,CUST000052,Customer_52,18-03-2010,F,PAN,KYC00000052,21-03-2019,INACTIVE,Gold,Mumbai,Maharashtra,India,customer52@mail.com,-9882269211,27:44.8,N
53,CUST000053,Customer_53,12-05-2011,M,Aadhaar,KYC00000053,19-06-2024,ACTIVE,Gold,Delhi,Delhi,India,customer53@mail.com,-9147659583,27:44.8,N
54,CUST000054,Customer_54,28-06-2007,M,Aadhaar,KYC00000054,02-11-2022,ACTIVE,Platinum,Kolkata,West Bengal,India,customer54@mail.com,-9454549496,27:44.8,N
55,CUST000055,Customer_55,03-10-1989,F,Passport,KYC00000055,20-06-2021,INACTIVE,Gold,Hyderabad,Telangana,India,customer55@mail.com,-9532074034,27:44.8,N
56,CUST000056,Customer_56,16-11-1989,M,Aadhaar,KYC00000056,16-06-2025,INACTIVE,Platinum,Chennai,Tamil Nadu,India,customer56@mail.com,-9903303272,27:44.8,Y
57,CUST000057,Customer_57,11-09-2009,F,Aadhaar,KYC00000057,23-02-2024,ACTIVE,Gold,Chennai,Tamil Nadu,India,customer57@mail.com,-9408071168,27:44.8,Y
58,CUST000058,Customer_58,08-03-2010,F,Aadhaar,KYC00000058,15-12-2022,INACTIVE,Platinum,Delhi,Delhi,India,customer58@mail.com,-9329460043,27:44.8,N
59,CUST000059,Customer_59,12-10-1991,M,Aadhaar,KYC00000059,13-10-2023,ACTIVE,Silver,Hyderabad,Telangana,India,customer59@mail.com,-9978775406,27:44.8,Y
60,CUST000060,Customer_60,02-02-1998,M,PAN,KYC00000060,27-08-2019,ACTIVE,Silver,Hyderabad,Telangana,India,customer60@mail.com,-9362897585,27:44.8,N
61,CUST000061,Customer_61,08-06-1987,F,Aadhaar,KYC00000061,23-01-2025,ACTIVE,Platinum,Chennai,Tamil Nadu,India,customer61@mail.com,-9847704590,27:44.8,N
62,CUST000062,Customer_62,03-02-2002,M,PAN,KYC00000062,11-05-2025,ACTIVE,Silver,Delhi,Delhi,India,customer62@mail.com,-9935822459,27:44.8,N
63,CUST000063,Customer_63,21-01-1992,F,PAN,KYC00000063,02-04-2024,ACTIVE,Silver,Mumbai,Maharashtra,India,customer63@mail.com,-9590122068,27:44.8,Y
64,CUST000064,Customer_64,10-02-2014,F,Aadhaar,KYC00000064,14-11-2024,INACTIVE,Platinum,Delhi,Delhi,India,customer64@mail.com,-9578795998,27:44.8,Y
65,CUST000065,Customer_65,17-06-2005,F,Aadhaar,KYC00000065,09-10-2020,ACTIVE,Platinum,Hyderabad,Telangana,India,customer65@mail.com,-9620331995,27:44.8,Y
66,CUST000066,Customer_66,24-11-2003,M,Passport,KYC00000066,16-03-2021,ACTIVE,Gold,Bengaluru,Karnataka,India,customer66@mail.com,-9460613459,27:44.8,N
67,CUST000067,Customer_67,13-10-1987,M,PAN,KYC00000067,05-08-2020,INACTIVE,Platinum,Chennai,Tamil Nadu,India,customer67@mail.com,-9264073309,27:44.8,Y
68,CUST000068,Customer_68,11-10-2002,F,Aadhaar,KYC00000068,01-02-2024,INACTIVE,Gold,Kolkata,West Bengal,India,customer68@mail.com,-9166857212,27:44.8,Y
69,CUST000069,Customer_69,21-08-2001,M,Passport,KYC00000069,08-04-2022,INACTIVE,Silver,Delhi,Delhi,India,customer69@mail.com,-9477698052,27:44.8,N
70,CUST000070,Customer_70,18-12-2002,M,Aadhaar,KYC00000070,17-06-2020,ACTIVE,Gold,Delhi,Delhi,India,customer70@mail.com,-9621454036,27:44.8,Y
71,CUST000071,Customer_71,31-03-1999,F,Passport,KYC00000071,08-11-2019,INACTIVE,Silver,Delhi,Delhi,India,customer71@mail.com,-9768143235,27:44.8,Y
72,CUST000072,Customer_72,19-09-2010,M,PAN,KYC00000072,17-03-2025,INACTIVE,Silver,Delhi,Delhi,India,customer72@mail.com,-9595744844,27:44.8,Y
73,CUST000073,Customer_73,02-11-1995,F,Aadhaar,KYC00000073,16-05-2020,INACTIVE,Gold,Kolkata,West Bengal,India,customer73@mail.com,-9462388364,27:44.8,N
74,CUST000074,Customer_74,28-01-2003,F,PAN,KYC00000074,11-04-2023,ACTIVE,Platinum,Bengaluru,Karnataka,India,customer74@mail.com,-9679196708,27:44.8,Y
75,CUST000075,Customer_75,23-03-1994,M,Passport,KYC00000075,14-06-2018,ACTIVE,Silver,Bengaluru,Karnataka,India,customer75@mail.com,-9314061810,27:44.8,Y
76,CUST000076,Customer_76,01-01-1991,M,PAN,KYC00000076,24-04-2023,ACTIVE,Platinum,Chennai,Tamil Nadu,India,customer76@mail.com,-9334037555,27:44.8,N
77,CUST000077,Customer_77,30-08-1995,F,PAN,KYC00000077,17-10-2024,ACTIVE,Silver,Hyderabad,Telangana,India,customer77@mail.com,-9433975406,27:44.8,Y
78,CUST000078,Customer_78,26-04-1985,F,Passport,KYC00000078,06-08-2025,INACTIVE,Gold,Chennai,Tamil Nadu,India,customer78@mail.com,-9867741101,27:44.8,Y
79,CUST000079,Customer_79,22-09-2010,M,PAN,KYC00000079,26-10-2025,ACTIVE,Platinum,Kolkata,West Bengal,India,customer79@mail.com,-9744686969,27:44.8,Y
80,CUST000080,Customer_80,03-01-1986,F,Passport,KYC00000080,21-10-2022,ACTIVE,Silver,Chennai,Tamil Nadu,India,customer80@mail.com,-9643271170,27:44.8,N
81,CUST000081,Customer_81,04-01-2003,F,PAN,KYC00000081,11-11-2022,ACTIVE,Platinum,Kolkata,West Bengal,India,customer81@mail.com,-9989817605,27:44.8,N
82,CUST000082,Customer_82,11-01-1991,F,PAN,KYC00000082,08-11-2023,ACTIVE,Platinum,Hyderabad,Telangana,India,customer82@mail.com,-9967797209,27:44.8,N
83,CUST000083,Customer_83,15-09-2003,F,Aadhaar,KYC00000083,02-10-2020,ACTIVE,Gold,Delhi,Delhi,India,customer83@mail.com,-9584044872,27:44.8,Y
84,CUST000084,Customer_84,23-09-2009,F,Aadhaar,KYC00000084,28-04-2018,INACTIVE,Gold,Delhi,Delhi,India,customer84@mail.com,-9295248966,27:44.8,N
85,CUST000085,Customer_85,31-01-2000,F,Aadhaar,KYC00000085,19-02-2021,ACTIVE,Platinum,Mumbai,Maharashtra,India,customer85@mail.com,-9110899583,27:44.8,Y
86,CUST000086,Customer_86,29-12-1994,F,Aadhaar,KYC00000086,24-03-2024,ACTIVE,Platinum,Kolkata,West Bengal,India,customer86@mail.com,-9611200991,27:44.8,N
87,CUST000087,Customer_87,09-12-1984,M,Aadhaar,KYC00000087,26-06-2020,INACTIVE,Platinum,Delhi,Delhi,India,customer87@mail.com,-9361246837,27:44.8,N
88,CUST000088,Customer_88,03-04-2010,F,Aadhaar,KYC00000088,17-03-2024,ACTIVE,Gold,Hyderabad,Telangana,India,customer88@mail.com,-9900941982,27:44.8,N
89,CUST000089,Customer_89,09-07-2004,F,Aadhaar,KYC00000089,26-10-2020,ACTIVE,Silver,Bengaluru,Karnataka,India,customer89@mail.com,-9874473068,27:44.8,Y
90,CUST000090,Customer_90,12-07-1989,M,PAN,KYC00000090,05-06-2020,INACTIVE,Gold,Bengaluru,Karnataka,India,customer90@mail.com,-9878017125,27:44.8,N
91,CUST000091,Customer_91,15-11-1992,F,PAN,KYC00000091,18-01-2022,ACTIVE,Gold,Kolkata,West Bengal,India,customer91@mail.com,-9115191598,27:44.8,Y
92,CUST000092,Customer_92,17-03-1986,M,Passport,KYC00000092,11-04-2021,ACTIVE,Platinum,Bengaluru,Karnataka,India,customer92@mail.com,-9908304349,27:44.8,N
93,CUST000093,Customer_93,18-09-1984,F,Aadhaar,KYC00000093,15-05-2023,INACTIVE,Gold,Kolkata,West Bengal,India,customer93@mail.com,-9297958892,27:44.8,Y
94,CUST000094,Customer_94,06-08-2005,M,PAN,KYC00000094,30-06-2022,INACTIVE,Silver,Bengaluru,Karnataka,India,customer94@mail.com,-9719571654,27:44.8,Y
95,CUST000095,Customer_95,10-11-1990,F,PAN,KYC00000095,13-10-2020,ACTIVE,Platinum,Mumbai,Maharashtra,India,customer95@mail.com,-9920814809,27:44.8,N
96,CUST000096,Customer_96,27-11-2010,M,Passport,KYC00000096,08-04-2022,INACTIVE,Gold,Chennai,Tamil Nadu,India,customer96@mail.com,-9419280399,27:44.8,N
97,CUST000097,Customer_97,03-09-2009,M,Passport,KYC00000097,11-02-2019,ACTIVE,Platinum,Bengaluru,Karnataka,India,customer97@mail.com,-9326586490,27:44.8,N
98,CUST000098,Customer_98,23-10-1987,M,PAN,KYC00000098,13-12-2019,ACTIVE,Silver,Hyderabad,Telangana,India,customer98@mail.com,-9102872947,27:44.8,N
99,CUST000099,Customer_99,21-10-2010,F,Aadhaar,KYC00000099,14-05-2018,ACTIVE,Gold,Delhi,Delhi,India,customer99@mail.com,-9859087955,27:44.8,N
100,CUST000100,Customer_100,13-07-2004,M,Passport,KYC00000100,14-08-2020,ACTIVE,Platinum,Hyderabad,Telangana,India,customer100@mail.com,-9733281656,27:44.8,Y
101,CUST000101,Customer_101,25-04-1989,M,Passport,KYC00000101,03-09-2019,ACTIVE,Silver,Delhi,Delhi,India,customer101@mail.com,-9176675640,27:44.8,Y
102,CUST000102,Customer_102,18-12-1997,F,Aadhaar,KYC00000102,25-05-2019,INACTIVE,Platinum,Mumbai,Maharashtra,India,customer102@mail.com,-9426515334,27:44.8,N
103,CUST000103,Customer_103,13-08-2006,F,Aadhaar,KYC00000103,26-11-2018,ACTIVE,Gold,Bengaluru,Karnataka,India,customer103@mail.com,-9888699708,27:44.8,N
104,CUST000104,Customer_104,26-05-1995,M,PAN,KYC00000104,26-07-2020,ACTIVE,Platinum,Chennai,Tamil Nadu,India,customer104@mail.com,-9981994254,27:44.8,N
105,CUST000105,Customer_105,21-12-1985,M,Aadhaar,KYC00000105,27-10-2023,INACTIVE,Gold,Chennai,Tamil Nadu,India,customer105@mail.com,-9294872391,27:44.8,N
106,CUST000106,Customer_106,23-03-2006,M,Aadhaar,KYC00000106,26-11-2021,INACTIVE,Gold,Hyderabad,Telangana,India,customer106@mail.com,-9444733588,27:44.8,Y
107,CUST000107,Customer_107,17-12-1998,F,Passport,KYC00000107,23-07-2023,ACTIVE,Platinum,Mumbai,Maharashtra,India,customer107@mail.com,-9529982237,27:44.8,Y
108,CUST000108,Customer_108,12-02-1988,F,Aadhaar,KYC00000108,17-08-2021,ACTIVE,Gold,Delhi,Delhi,India,customer108@mail.com,-9652543427,27:44.8,Y
109,CUST000109,Customer_109,03-07-2008,F,Aadhaar,KYC00000109,11-08-2018,ACTIVE,Platinum,Hyderabad,Telangana,India,customer109@mail.com,-9488457540,27:44.8,N
110,CUST000110,Customer_110,30-12-2003,M,PAN,KYC00000110,29-12-2020,ACTIVE,Gold,Hyderabad,Telangana,India,customer110@mail.com,-9570423478,27:44.8,N
111,CUST000111,Customer_111,17-06-1985,M,Passport,KYC00000111,11-10-2019,ACTIVE,Platinum,Kolkata,West Bengal,India,customer111@mail.com,-9114682753,27:44.8,N
112,CUST000112,Customer_112,31-03-1994,M,Aadhaar,KYC00000112,27-04-2019,ACTIVE,Gold,Kolkata,West Bengal,India,customer112@mail.com,-9869446871,27:44.8,N
113,CUST000113,Customer_113,06-06-1996,F,Aadhaar,KYC00000113,19-04-2023,ACTIVE,Gold,Chennai,Tamil Nadu,India,customer113@mail.com,-9691916277,27:44.8,Y
114,CUST000114,Customer_114,18-09-1992,M,PAN,KYC00000114,05-02-2021,INACTIVE,Gold,Delhi,Delhi,India,customer114@mail.com,-9945805036,27:44.8,N
115,CUST000115,Customer_115,08-11-1996,F,Passport,KYC00000115,03-07-2024,INACTIVE,Silver,Kolkata,West Bengal,India,customer115@mail.com,-9579476523,27:44.8,N
116,CUST000116,Customer_116,29-01-1999,F,Aadhaar,KYC00000116,11-08-2021,ACTIVE,Platinum,Bengaluru,Karnataka,India,customer116@mail.com,-9356415409,27:44.8,N
117,CUST000117,Customer_117,05-08-2002,M,Aadhaar,KYC00000117,22-04-2023,INACTIVE,Gold,Mumbai,Maharashtra,India,customer117@mail.com,-9812630362,27:44.8,Y
118,CUST000118,Customer_118,29-10-1985,M,Passport,KYC00000118,14-08-2024,ACTIVE,Silver,Delhi,Delhi,India,customer118@mail.com,-9572775103,27:44.8,Y
119,CUST000119,Customer_119,30-08-2004,M,Passport,KYC00000119,14-08-2019,INACTIVE,Platinum,Chennai,Tamil Nadu,India,customer119@mail.com,-9265744008,27:44.8,Y
120,CUST000120,Customer_120,21-01-1996,F,Passport,KYC00000120,08-10-2025,INACTIVE,Platinum,Delhi,Delhi,India,customer120@mail.com,-9186237826,27:44.8,N
121,CUST000121,Customer_121,07-02-2008,F,Aadhaar,KYC00000121,11-01-2025,INACTIVE,Platinum,Hyderabad,Telangana,India,customer121@mail.com,-9138546274,27:44.8,Y
122,CUST000122,Customer_122,23-06-2012,F,PAN,KYC00000122,06-01-2019,INACTIVE,Silver,Mumbai,Maharashtra,India,customer122@mail.com,-9916440647,27:44.8,Y
123,CUST000123,Customer_123,18-08-1991,F,PAN,KYC00000123,08-07-2018,ACTIVE,Silver,Delhi,Delhi,India,customer123@mail.com,-9415001163,27:44.8,N
124,CUST000124,Customer_124,27-06-2003,M,PAN,KYC00000124,16-12-2023,INACTIVE,Platinum,Bengaluru,Karnataka,India,customer124@mail.com,-9832077481,27:44.8,Y
125,CUST000125,Customer_125,08-01-1992,M,Passport,KYC00000125,16-04-2022,ACTIVE,Gold,Mumbai,Maharashtra,India,customer125@mail.com,-9726160113,27:44.8,Y
126,CUST000126,Customer_126,07-11-2004,F,Aadhaar,KYC00000126,11-11-2020,ACTIVE,Gold,Mumbai,Maharashtra,India,customer126@mail.com,-9408842055,27:44.8,Y
127,CUST000127,Customer_127,25-12-2003,F,Passport,KYC00000127,10-05-2021,INACTIVE,Platinum,Kolkata,West Bengal,India,customer127@mail.com,-9368540833,27:44.8,N
128,CUST000128,Customer_128,06-02-1993,F,Aadhaar,KYC00000128,13-03-2019,ACTIVE,Gold,Bengaluru,Karnataka,India,customer128@mail.com,-9714097227,27:44.8,N
129,CUST000129,Customer_129,09-06-1997,F,PAN,KYC00000129,20-05-2025,INACTIVE,Gold,Chennai,Tamil Nadu,India,customer129@mail.com,-9108695034,27:44.8,Y
130,CUST000130,Customer_130,13-06-2006,F,PAN,KYC00000130,22-10-2024,ACTIVE,Silver,Chennai,Tamil Nadu,India,customer130@mail.com,-9783563149,27:44.8,Y
131,CUST000131,Customer_131,30-05-1995,M,Passport,KYC00000131,02-02-2019,ACTIVE,Gold,Chennai,Tamil Nadu,India,customer131@mail.com,-9946763970,27:44.8,N
132,CUST000132,Customer_132,01-03-2010,F,Passport,KYC00000132,23-06-2019,ACTIVE,Gold,Kolkata,West Bengal,India,customer132@mail.com,-9450811899,27:44.8,N
133,CUST000133,Customer_133,04-03-1993,M,Passport,KYC00000133,07-02-2022,ACTIVE,Silver,Mumbai,Maharashtra,India,customer133@mail.com,-9375919432,27:44.8,N
134,CUST000134,Customer_134,12-05-1999,M,Aadhaar,KYC00000134,05-11-2018,ACTIVE,Silver,Bengaluru,Karnataka,India,customer134@mail.com,-9826196978,27:44.8,N
135,CUST000135,Customer_135,28-07-2000,M,Aadhaar,KYC00000135,27-02-2018,ACTIVE,Platinum,Chennai,Tamil Nadu,India,customer135@mail.com,-9232702303,27:44.8,N
136,CUST000136,Customer_136,05-12-1995,F,Passport,KYC00000136,02-03-2022,ACTIVE,Platinum,Bengaluru,Karnataka,India,customer136@mail.com,-9351064268,27:44.8,N
137,CUST000137,Customer_137,16-12-2011,F,Passport,KYC00000137,25-06-2020,ACTIVE,Platinum,Kolkata,West Bengal,India,customer137@mail.com,-9984607859,27:44.8,N
138,CUST000138,Customer_138,21-09-1997,F,PAN,KYC00000138,27-07-2019,ACTIVE,Silver,Hyderabad,Telangana,India,customer138@mail.com,-9426808886,27:44.8,N
139,CUST000139,Customer_139,11-07-1988,M,Passport,KYC00000139,10-07-2019,INACTIVE,Gold,Kolkata,West Bengal,India,customer139@mail.com,-9498370491,27:44.8,N
140,CUST000140,Customer_140,05-02-1991,F,Passport,KYC00000140,10-02-2019,INACTIVE,Platinum,Chennai,Tamil Nadu,India,customer140@mail.com,-9538211001,27:44.8,N
141,CUST000141,Customer_141,14-10-2000,M,Aadhaar,KYC00000141,27-12-2022,ACTIVE,Gold,Kolkata,West Bengal,India,customer141@mail.com,-9206681123,27:44.8,N
142,CUST000142,Customer_142,02-02-2013,F,PAN,KYC00000142,19-06-2022,ACTIVE,Silver,Chennai,Tamil Nadu,India,customer142@mail.com,-9231167908,27:44.8,N
143,CUST000143,Customer_143,23-11-2013,M,Passport,KYC00000143,04-03-2025,ACTIVE,Silver,Kolkata,West Bengal,India,customer143@mail.com,-9944814171,27:44.8,N
144,CUST000144,Customer_144,25-10-1989,M,PAN,KYC00000144,20-03-2024,ACTIVE,Platinum,Mumbai,Maharashtra,India,customer144@mail.com,-9331875908,27:44.8,Y
145,CUST000145,Customer_145,14-10-1990,M,Aadhaar,KYC00000145,16-08-2019,ACTIVE,Platinum,Bengaluru,Karnataka,India,customer145@mail.com,-9369137804,27:44.8,Y
146,CUST000146,Customer_146,26-10-2013,M,PAN,KYC00000146,02-03-2018,ACTIVE,Silver,Kolkata,West Bengal,India,customer146@mail.com,-9732275919,27:44.8,N
147,CUST000147,Customer_147,25-12-1991,F,PAN,KYC00000147,04-06-2019,INACTIVE,Platinum,Kolkata,West Bengal,India,customer147@mail.com,-9222029919,27:44.8,Y
148,CUST000148,Customer_148,10-04-2004,F,Passport,KYC00000148,28-08-2024,ACTIVE,Gold,Delhi,Delhi,India,customer148@mail.com,-9640992586,27:44.8,Y
149,CUST000149,Customer_149,10-02-1986,F,Aadhaar,KYC00000149,20-03-2025,ACTIVE,Silver,Chennai,Tamil Nadu,India,customer149@mail.com,-9614302816,27:44.8,N
150,CUST000150,Customer_150,03-01-1989,F,Passport,KYC00000150,22-12-2022,ACTIVE,Silver,Delhi,Delhi,India,customer150@mail.com,-9445864842,27:44.8,Y
151,CUST000151,Customer_151,29-10-1989,F,Passport,KYC00000151,06-02-2025,ACTIVE,Gold,Kolkata,West Bengal,India,customer151@mail.com,-9741444527,27:44.8,N
